station,cluster,n_bins,anomaly_count,anomaly_freq,anomaly_days_ratio,mean_anomaly_score,max_anomaly_score,train_loss,val_loss,n_train_windows,downtime_ratio,max_continuous_downtime_hours,total_downtime_hours,fft_energy,fft_max_amp,fft_spectral_entropy,rmse_20min,rmse_1h,predicted_risk_score,health_tier
Manila Observatory,C_hourly,78732,993,0.012612406645328455,0.015525114155251141,1.0158944366405414,1.0677788156425436,0.005346283316612244,0.0030508888885378838,8000,0.016174613673260785,67.0,142.0,133033488316.10031,29506.399540054903,8.288522000354114,0.0,0.0,0.43253416661486366,SUSPICIOUS_READINGS
ASMPH,A_high_freq,78732,791,0.010046740842351267,0.011872146118721462,1.0496058764689915,1.1026387390855978,0.0061624436639249325,0.0020228063222020864,8000,0.18958887902987287,5.9046666666666665,865.5486666666667,4777552354.339565,6040.07671947662,8.151877326687927,0.0,1.7561998564764159,0.4274015563701599,DEGRADED_OFFLINE
Demo Unit 4,A_high_freq,78732,42,0.000533455265965554,0.0027397260273972603,1.0311640211808124,1.0533775791176445,0.0011626610066741705,0.001570406835526228,8000,0.46101295641931683,328.238,1196.639333333333,23895169294.313656,8776.067424859399,8.898389811896006,0.0,5.341880914201636,0.4126737767088612,CRITICAL_OFFLINE
Illumina,C_hourly,78732,816,0.010364273738759335,0.014611872146118721,1.0124518391019148,1.038036059255286,0.006484312005341053,0.002059313002973795,8000,0.033211105290728016,91.0,198.0,63537643373.23294,22742.11135939411,8.61571140780825,0.0,0.0,0.4107359367281778,HEALTHY
"Lamao, Limay",A_high_freq,78732,488,0.006198242137885485,0.0073059360730593605,1.055306652342078,1.0870875504124358,0.002813666593283415,0.0025492149870842695,8000,0.3318854886475815,12.875499999999999,1258.4966666666664,19669419304.63452,11841.302768122314,8.58593909544246,0.0,3.198513387052914,0.40801142356570647,CRITICAL_OFFLINE
North Caloocan Nova Romania - Alora (download airgradient mobile app for realtime data),C_hourly,78732,920,0.011685210587816897,0.012785388127853882,1.0354164448309278,1.0747620046765636,0.009555811062455177,0.006497938185930252,8000,0.0056246691371094615,4.0,20.0,85154718216.38593,22483.37776872672,8.485183451219854,0.0,0.0,0.3866584848922328,HEALTHY
STRC,C_hourly,78732,738,0.009373571101966164,0.01004566210045662,1.0410529282530636,1.061370421525067,0.003424696158617735,0.0026636840775609016,8000,0.037135278514588865,51.0,207.0,36414729025.77016,10414.050658138012,8.503628306928444,0.0,0.0,0.3547393807191477,HEALTHY
Tivoli,C_hourly,78732,691,0.008776609256718996,0.01004566210045662,1.0176748906874071,1.0523767949601321,0.00805661827325821,0.005193054676055908,8000,0.02652270860227668,48.0,66.0,30403189356.029495,10498.225630543653,8.451649969961542,0.0,0.0,0.33706148390955987,HEALTHY
President Roxas,C_hourly,78732,619,0.00786211451506376,0.0091324200913242,1.0070885086347932,1.026131923663262,0.01220299955457449,0.009867730550467968,8000,0.025140977443609103,22.0,63.0,145199512106.8164,27541.702958337937,9.338578664196145,0.0,0.0,0.3309656402970914,HEALTHY
Valle1,C_hourly,78732,672,0.008535284255448864,0.0091324200913242,1.021371227555811,1.108383307920457,0.0034532840363681316,0.0013714918168261647,8000,0.03710054559625875,16.0,77.0,21631214735.861298,10154.186270802342,7.9920550444403196,0.0,0.0,0.31390043933604206,HEALTHY
Pinya Farm,C_hourly,78732,711,0.00903063557384545,0.01004566210045662,1.0316591710728853,1.0814585778676271,0.003605747129768133,0.0019429215462878346,8000,0.0026352288488210585,3.0,6.0,27677154129.21974,11073.155276696238,7.725660152288349,0.0,0.0,0.30539060690825054,HEALTHY
"Quezon Rd, San Simon",B_candidate,78732,15,0.00019051973784484072,0.0009132420091324201,1.0111357928936786,1.237656903384319,0.019016707316040993,0.01919953152537346,8000,0.19191285502452382,41.372166666666665,1135.8855,12197969190500.688,464266.8978333001,9.066918480760823,0.0,87.00141696461426,0.2712370783945659,DEGRADED_OFFLINE
Tagaytay (Neogan),C_hourly,78732,298,0.003784992125184169,0.0045662100456621,1.0086991945975974,1.0594372844493256,0.010749672539532185,0.007990331389009953,8000,0.09095260890378165,213.0,251.0,34323128459.492012,12472.83658615762,7.846011421973396,0.0,0.0,0.26603542310002043,OCCASIONAL_OUTAGES
Demo Unit 1,B_candidate,78732,121,0.0015368592186150486,0.0036529680365296802,1.007196861710998,1.090376103708829,0.003350498154759407,0.003065261757001281,8000,0.21512287334593572,41.380833333333335,774.8958333333334,59674965568.38509,25232.400080724306,8.42402153976567,0.0,4.583093208609544,0.25688044446679786,DEGRADED_OFFLINE
NASA GSFC Rutgers Calib. N12,B_candidate,78732,20,0.0002540263171264543,0.0009132420091324201,1.0085552731891463,1.0620821860688763,0.0025982740335166454,0.0014642052119597793,8000,0.2771817058096415,19.048333333333336,1924.85,8783725546.85146,7190.452873690633,8.2652254433534,0.0,1.0010064727204564,0.2350751722719387,CRITICAL_OFFLINE
Ortigas,B_candidate,78732,4,5.080526342529086e-05,0.0009132420091324201,1.009097741696337,1.103317316054759,0.0025039815809577703,0.0027019637636840343,8000,0.23014598030313616,18.791666666666668,1193.5833333333333,56845366468.014336,20115.106784123618,8.223723018694802,0.0,3.0964177787336844,0.2108989346559892,DEGRADED_OFFLINE
Demo Unit 2,A_high_freq,78732,4,5.080526342529086e-05,0.0009132420091324201,1.0090293712225777,1.07853962898577,0.0023432655725628138,0.0021340777166187763,8000,0.17318518518518522,16.573666666666664,1730.7266666666662,42731975003.56996,16804.53209636071,8.511680397488016,0.0,5.369655395696485,0.1926939386231249,DEGRADED_OFFLINE
"Brgy. Benedicto, Jaro, Iloilo",C_hourly,78732,0,0.0,0.0,0.0,1.0387396165726894,0.0017169038765132427,0.001414413913153112,8000,0.060359436318230486,690.0,854.0,134454848312.97977,68212.37619209905,7.903752895012589,0.0,0.0,0.1703218643243456,OCCASIONAL_OUTAGES
