station,cluster,n_bins,anomaly_count,anomaly_freq,anomaly_days_ratio,mean_anomaly_score,max_anomaly_score,train_loss,val_loss,n_train_windows
"Brgy. Benedicto, Jaro, Iloilo",C_hourly,78732,0,0.0,0.0,0.0,1.0387396165726894,0.0017169038765132427,0.001414413913153112,8000
C3 Road (5th Avenue) - Rizal Avenue Extension,B_candidate,78732,666,0.008459076360310928,0.01004566210045662,1.0280568908062324,1.0604980023520323,0.004741279873996973,0.0018668979173526168,8000
Caloocan Sports Complex,B_candidate,78732,764,0.009703805314230554,0.010958904109589041,1.0207946619102846,1.0851139256287778,0.002986028091982007,0.002319202059879899,8000
Demo Unit 1,B_candidate,78732,121,0.0015368592186150486,0.0036529680365296802,1.007196861710998,1.090376103708829,0.003350498154759407,0.003065261757001281,8000
Demo Unit 2,A_high_freq,78732,4,5.080526342529086e-05,0.0009132420091324201,1.0090293712225777,1.07853962898577,0.0023432655725628138,0.0021340777166187763,8000
Demo Unit 4,A_high_freq,78732,42,0.000533455265965554,0.0027397260273972603,1.0311640211808124,1.0533775791176445,0.0011626610066741705,0.001570406835526228,8000
Gen. Luna St. corner Gov. Pascual Ave.,B_candidate,78732,530,0.006731697403851039,0.0091324200913242,1.0701372858560716,1.0722165264101309,0.010364042595028877,0.0058307587169110775,8000
Illumina,C_hourly,78732,816,0.010364273738759335,0.014611872146118721,1.0124518391019148,1.038036059255286,0.006484312005341053,0.002059313002973795,8000
J.P. Rizal Avenue corner Camia,B_candidate,78732,728,0.009246557943402936,0.010958904109589041,1.056398897355649,1.0903908508481401,0.007386703975498676,0.004409572575241327,8000
J.P. Rizal Avenue corner Pertierra,B_candidate,78732,769,0.009767311893512168,0.010958904109589041,1.0301794220411722,1.0711978444250823,0.004658504389226437,0.0025672330521047115,8000
Kalayaan Avenue  - South Avenue Intersection,B_candidate,78732,780,0.009907026367931717,0.010958904109589041,1.0222026236523976,1.0643023040810855,0.0033779770601540804,0.001794373500160873,8000
"Lamao, Limay",A_high_freq,78732,488,0.006198242137885485,0.0073059360730593605,1.055306652342078,1.0870875504124358,0.002813666593283415,0.0025492149870842695,8000
MNHS AQ Station,B_candidate,78732,717,0.009106843468983387,0.012785388127853882,1.0130422041280107,1.0492178803942833,0.00417145574465394,0.0017611332004889846,8000
Makati Avenue  - Antonio Arnaiz Avenue Intersection,B_candidate,78732,768,0.009754610577655845,0.012785388127853882,1.0455980074151074,1.102753436512969,0.004054476972669363,0.0033827051520347595,8000
Makati Avenue - Buendia Avenue Intersection,B_candidate,78732,716,0.009094142153127064,0.010958904109589041,1.0237831975462655,1.0626358377941318,0.0024153979029506445,0.001868498045951128,8000
Malabon Action Center,B_candidate,78732,987,0.01253619875019052,0.015525114155251141,1.031950437137283,1.0874253803211469,0.0067047178745269775,0.00444105314090848,8000
