station,cluster,n_bins,anomaly_count,anomaly_freq,anomaly_days_ratio,mean_anomaly_score,max_anomaly_score,train_loss,val_loss,n_train_windows,downtime_ratio,max_continuous_downtime_hours,total_downtime_hours,fft_energy,fft_max_amp,fft_spectral_entropy,model3_risk_score
"Monumento, Caloocan",A_high_freq,78732,697,0.008852817151856932,0.01004566210045662,1.0441614658813154,1.121075160024181,0.006985440384596586,0.0039718858897686005,8000,0.28173506272591964,21.5425,999.8391666666665,43361254825.649765,15486.177103198448,8.610515955355172,0.43049689548408016
"Bo. Luz Barangay Hall, Limay",A_high_freq,78732,611,0.007760503988213179,0.0091324200913242,1.0647584162420014,1.0996316321075943,0.007524649612605572,0.004832956939935684,8000,0.33206775700934577,13.206666666666667,1274.6399999999999,20019126350.41362,12309.340993291438,8.5510785591164,0.42896881596197756
Old Wack Wack Road corner Shaw Boulevard,B_candidate,78732,585,0.0074302697759487885,0.01004566210045662,1.1531298899210873,1.155892816998375,0.018998660147190094,0.013028162531554699,8000,0.28313431362873775,22.050833333333333,1971.2483333333332,80810955535.39796,20770.102264745175,8.522328340481975,0.4184758642455409
"Lamao, Limay",A_high_freq,78732,534,0.00678250266727633,0.0091324200913242,1.0520611787317296,1.0836968297071812,0.0021729639265686274,0.0021265584509819746,8000,0.3318854886475815,12.875499999999999,1258.4966666666664,19669419304.63452,11841.302768122314,8.58593909544246,0.41464117352554747
Demo Unit 4,A_high_freq,78732,17,0.00021592236955748616,0.0009132420091324201,1.0103793771056222,1.0570864590857403,0.0033516462426632643,0.001995187485590577,8000,0.46101295641931683,328.238,1196.639333333333,23895169294.313656,8776.067424859399,8.898389811896006,0.38906372446313287
ASMPH,A_high_freq,78732,726,0.009221155311690292,0.010958904109589041,1.0499328292333583,1.1054990364327304,0.0014277156442403793,0.0012525004567578435,8000,0.18958887902987287,5.9046666666666665,865.5486666666667,4777552354.339565,6040.07671947662,8.151877326687927,0.38849670031476635
Brgy. Ambassador,C_hourly,78732,732,0.009297363206828228,0.010958904109589041,1.0086499445980184,1.0390316829483486,0.0011491579934954643,0.0004916627076454461,8000,0.08742415885273025,231.0,782.0,164325065591.60272,63305.713247746186,8.067169813946794,0.3867063250679265
Illumina,C_hourly,78732,771,0.009792714525224813,0.012785388127853882,1.0124085065727695,1.0374549165947746,0.0027073100209236145,0.0020623730961233377,8000,0.033211105290728016,91.0,198.0,63537643373.23294,22742.11135939411,8.61571140780825,0.36719939694984044
North Caloocan Nova Romania - Alora (download airgradient mobile app for realtime data),C_hourly,78732,920,0.011685210587816897,0.012785388127853882,1.0354091784289687,1.0747621620377494,0.0054019722156226635,0.0027529620565474033,8000,0.0056246691371094615,4.0,20.0,85154718216.38593,22483.37776872672,8.485183451219854,0.3633869777282509
Manila Observatory,C_hourly,78732,817,0.010376975054615658,0.010958904109589041,1.0218594409222,1.0568666995288343,0.009160947985947132,0.003024490550160408,8000,0.016174613673260785,67.0,142.0,133033488316.10031,29506.399540054903,8.288522000354114,0.34406558662600295
STRC,C_hourly,78732,740,0.009398973733678808,0.01004566210045662,1.0418413240139677,1.0642206112528427,0.008358602412045002,0.0029906155541539192,8000,0.037135278514588865,51.0,207.0,36414729025.77016,10414.050658138012,8.503628306928444,0.3361218488194171
MNHS AQ Station,B_candidate,78732,174,0.0022100289590001525,0.0027397260273972603,1.0129419199989271,1.0486941258444398,0.0011071981862187386,0.001580978510901332,8000,0.33303011442524055,22.044500000000003,2370.940666666667,110465040082.20767,17840.912798282046,9.825150575281526,0.3347250835035814
Tivoli,C_hourly,78732,691,0.008776609256718996,0.01004566210045662,1.0176790492806658,1.052386935448559,0.008826670236885548,0.006478198803961277,8000,0.02652270860227668,48.0,66.0,30403189356.029495,10498.225630543653,8.451649969961542,0.31872549432422365
President Roxas,C_hourly,78732,619,0.00786211451506376,0.0091324200913242,1.0070883264459038,1.0261348494750746,0.006980620790272951,0.004549388773739338,8000,0.025140977443609103,22.0,63.0,145199512106.8164,27541.702958337937,9.338578664196145,0.31422515120425604
Valle1,C_hourly,78732,672,0.008535284255448864,0.0091324200913242,1.0213831153354538,1.1084035014180225,0.006464195903390646,0.0032390279229730368,8000,0.03710054559625875,16.0,77.0,21631214735.861298,10154.186270802342,7.9920550444403196,0.29638874789606934
Pinya Farm,C_hourly,78732,711,0.00903063557384545,0.01004566210045662,1.0317008068146385,1.0815472446418062,0.007241813000291586,0.0029248225037008524,8000,0.0026352288488210585,3.0,6.0,27677154129.21974,11073.155276696238,7.725660152288349,0.28674559341930844
"Quezon Rd, San Simon",B_candidate,78732,18,0.00022862368541380886,0.0009132420091324201,1.0140498794649897,1.240336193019852,0.02085977979004383,0.020479004830121994,8000,0.19191285502452382,41.372166666666665,1135.8855,12197969190500.688,464266.8978333001,9.066918480760823,0.26880071856848586
Tagaytay (Neogan),C_hourly,78732,298,0.003784992125184169,0.0045662100456621,1.0086991440099855,1.0594376001589716,0.008673582226037979,0.0065863411873579025,8000,0.09095260890378165,213.0,251.0,34323128459.492012,12472.83658615762,7.846011421973396,0.25659920316598217
Demo Unit 1,B_candidate,78732,139,0.0017654829040288575,0.0036529680365296802,1.015238130421623,1.0942192039475869,0.005311906803399324,0.0038920792285352945,8000,0.21512287334593572,41.380833333333335,774.8958333333334,59674965568.38509,25232.400080724306,8.42402153976567,0.2544280991673844
NASA GSFC Rutgers Calib. N12,B_candidate,78732,34,0.0004318447391149723,0.0018264840182648401,1.0865153912811785,1.1196368019318035,0.013063863851130009,0.008487961255013943,8000,0.2771817058096415,19.048333333333336,1924.85,8783725546.85146,7190.452873690633,8.2652254433534,0.24732051551798506
Ortigas,B_candidate,78732,2,2.540263171264543e-05,0.0009132420091324201,1.0131276434637595,1.1005104690921197,0.003130583791062236,0.0033731069415807724,8000,0.23014598030313616,18.791666666666668,1193.5833333333333,56845366468.014336,20115.106784123618,8.223723018694802,0.20781418968145493
Demo Unit 2,A_high_freq,78732,5,6.350657928161357e-05,0.0009132420091324201,1.0475710255608646,1.0954932319118527,0.01132319588214159,0.003920259419828653,8000,0.17318518518518522,16.573666666666664,1730.7266666666662,42731975003.56996,16804.53209636071,8.511680397488016,0.19314414351980733
"Brgy. Benedicto, Jaro, Iloilo",C_hourly,78732,0,0.0,0.0,0.0,1.0755576993950917,0.011810765601694584,0.004750912543386221,8000,0.060359436318230486,690.0,854.0,134454848312.97977,68212.37619209905,7.903752895012589,0.1703218643243456
